model,threshold,mean_dice,mean_iou,nonempty_mean_dice,mean_precision,mean_recall,empty_accuracy
unet,0.10000000149011612,0.9501412510871887,0.9153741598129272,0.9476311802864075,0.9543155431747437,0.9528133273124695,1.0
unet,0.15000000596046448,0.9502806067466736,0.9156602025032043,0.9477777481079102,0.9571906328201294,0.9502201676368713,1.0
unet,0.20000000298023224,0.9503359794616699,0.9157916307449341,0.9478358626365662,0.9592944383621216,0.9482532739639282,1.0
unet,0.25,0.9502888321876526,0.9157317280769348,0.9477862119674683,0.9608322381973267,0.9466707110404968,1.0
unet,0.30000001192092896,0.9502397179603577,0.915661633014679,0.9477346539497375,0.9620970487594604,0.9453384280204773,1.0
unet,0.3499999940395355,0.9501727223396301,0.9155423045158386,0.9476642608642578,0.9631815552711487,0.9441622495651245,1.0
unet,0.4000000059604645,0.9500564932823181,0.9153584837913513,0.9475421905517578,0.9641532301902771,0.9430073499679565,1.0
unet,0.44999998807907104,0.9499317407608032,0.9151496291160583,0.9474112391471863,0.9650845527648926,0.9418729543685913,1.0
unet,0.5,0.9497863054275513,0.9149061441421509,0.9472583532333374,0.9660253524780273,0.9406909346580505,1.0
unet,0.550000011920929,0.949657142162323,0.9146870374679565,0.9471228122711182,0.9669041633605957,0.9396024942398071,1.0
unet,0.6000000238418579,0.9494968056678772,0.9144039750099182,0.9469542503356934,0.9678137302398682,0.9384310841560364,1.0
unet,0.6499999761581421,0.9493566155433655,0.914155900478363,0.9468070864677429,0.9687531590461731,0.9372804164886475,1.0
unet,0.699999988079071,0.9491023421287537,0.913726270198822,0.9465399980545044,0.9697018265724182,0.935895562171936,1.0
unet,0.75,0.9487448334693909,0.9131209850311279,0.9461644887924194,0.9706465005874634,0.9343085289001465,1.0
unet,0.800000011920929,0.9484151601791382,0.9125462174415588,0.9458182454109192,0.971824049949646,0.9325878024101257,1.0
unet,0.8500000238418579,0.9478631019592285,0.9115975499153137,0.9452383518218994,0.9732592701911926,0.930218517780304,1.0
unet,0.8999999761581421,0.9468414187431335,0.9098595976829529,0.9441653490066528,0.975098192691803,0.9265645742416382,1.0
segformer,0.10000000149011612,0.953088104724884,0.9202989339828491,0.9507263898849487,0.9473556280136108,0.9651256203651428,1.0
segformer,0.15000000596046448,0.9539172053337097,0.9218568205833435,0.9515972137451172,0.9515951871871948,0.9625005125999451,1.0
segformer,0.20000000298023224,0.9544095396995544,0.922793984413147,0.9521143436431885,0.9545500874519348,0.9605451226234436,1.0
segformer,0.25,0.9547044038772583,0.9233803153038025,0.9524240493774414,0.9569784998893738,0.9587531089782715,1.0
segformer,0.30000001192092896,0.9548398852348328,0.9236657619476318,0.952566385269165,0.9589917659759521,0.957055389881134,1.0
segformer,0.3499999940395355,0.9549010992050171,0.9238182902336121,0.9526306390762329,0.9607337117195129,0.9554834961891174,1.0
segformer,0.4000000059604645,0.9550111889839172,0.924048900604248,0.9527462124824524,0.9623709321022034,0.9541206955909729,1.0
segformer,0.44999998807907104,0.9550493955612183,0.9241447448730469,0.9527865648269653,0.9639624357223511,0.9527117013931274,1.0
segformer,0.5,0.9550091624259949,0.9241034388542175,0.95274418592453,0.9653886556625366,0.9512792825698853,1.0
segformer,0.550000011920929,0.9549715518951416,0.9240821599960327,0.952704668045044,0.9668782353401184,0.9498209953308105,1.0
segformer,0.6000000238418579,0.954811692237854,0.9238518476486206,0.952536940574646,0.9682754278182983,0.9482017755508423,1.0
segformer,0.6499999761581421,0.9546259045600891,0.923560380935669,0.9523415565490723,0.969627320766449,0.9465723037719727,1.0
segformer,0.699999988079071,0.9543308615684509,0.9230887293815613,0.9520317316055298,0.9710621237754822,0.9446812868118286,1.0
segformer,0.75,0.953963577747345,0.9225021004676819,0.9516459703445435,0.972625195980072,0.9425472021102905,1.0
segformer,0.800000011920929,0.9534248113632202,0.9216325283050537,0.9510799050331116,0.9742153882980347,0.940079391002655,1.0
segformer,0.8500000238418579,0.9527485966682434,0.9205386638641357,0.9503698348999023,0.9762314558029175,0.9369987845420837,1.0
segformer,0.8999999761581421,0.9516531229019165,0.9187378287315369,0.9492191672325134,0.9786608219146729,0.9327771663665771,1.0
