size_group,samples,min_target_pixels,median_target_pixels,max_target_pixels,mean_dice_unet,mean_dice_segformer,mean_delta_dice,mean_precision_unet,mean_precision_segformer,mean_recall_unet,mean_recall_segformer,improved_samples,regressed_samples
Q1_smallest,110,164,1700.5,2613,0.9104393504488317,0.9156880189825432,0.00524866853371148,0.9329086445759972,0.9383974115546513,0.9078488850851458,0.9118494464947468,75,35
Q2_small,109,2634,3117.0,3862,0.9577766028604173,0.9654149243486173,0.007638321488200001,0.9785505165388666,0.9753846688649159,0.9454864741920246,0.9628102403862819,90,19
Q3_large,109,3867,4542.0,5805,0.9555629648658129,0.9588901910647051,0.0033272261988921566,0.9789935220592022,0.974912059827689,0.9476520780735602,0.9580529532415205,78,31
Q4_largest,109,5838,8540.0,158695,0.9655921305636116,0.9713235062714745,0.005731375707862809,0.9739521553328818,0.973108914867998,0.9620776322285518,0.9727655520849321,67,42
